ins_ID,ins_FirstName,ins_LastName,ins_Phone,ins_ExperienceYear,ins_IsInternal,ins_PreferOffline,ins_Email,ins_WorkingStatus,ins_Salary,ins_Age,ins_Gender,ins_Degree,ins_HireDate,ins_Specialization,cou_ID
90,Noha,Rashid,1221496669,5,1,0,noha.rashid@hotmail.com,Full-time,22500,26,Female,Bachelor's,3/4/2020,Cybersecurity,139
91,Noha,Adly,1233456916,1,1,0,noha.adly@hotmail.com,Full-time,16500,25,Female,Bachelor's,3/17/2024,Power BI Development,328
92,Basel,Abdelaziz,1580100404,10,0,1,basel.abdelaziz@gmail.com,Part-time,30000,36,Male,Master's,1/12/2015,Cybersecurity,286
93,Hana,Abdelaziz,1162103983,9,0,0,hana.abdelaziz@hotmail.com,Part-time,28500,35,Female,Bachelor's,12/14/2016,Database Administration,113
94,Sherif,Rashid,1162876776,25,0,1,sherif.rashid@hotmail.com,Full-time,52500,47,Male,Master's,5/6/2000,DevOps,167
95,Essam,Said,1542425421,7,1,0,essam.said@hotmail.com,Part-time,25500,31,Male,Bachelor's,3/28/2018,Cloud Computing,29
96,Reem,Gamal,1197779419,19,0,0,reem.gamal@hotmail.com,Part-time,43500,46,Female,Master's,9/5/2006,Cloud Computing,118
97,Amr,Adly,1582067640,3,0,0,amr.adly@gmail.com,Part-time,19500,25,Male,Bachelor's,8/17/2022,Artificial Intelligence,17
98,Tarek,Kamal,1265012476,13,1,1,tarek.kamal@gmail.com,Part-time,34500,51,Male,PhD,5/3/2012,Web Development,162
99,Karim,Mostafa,1145794355,11,0,0,karim.mostafa@hotmail.com,Full-time,31500,36,Male,Master's,12/1/2014,Cybersecurity,206
100,Nour,Adly,1060188455,22,1,0,nour.adly@hotmail.com,Full-time,48000,46,Female,Master's,4/21/2003,Artificial Intelligence,138
